=== local docker images from vouch builds (FROM scratch + GAR-tagged) ===
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524155851-r260524155855/about:c260524155851-r260524155855 ea9454829ada 4.87MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524155851-r260524155855/image:c260524155851-r260524155855 c42206df2e08 972MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524152712-r260524152715/vouch:c260524152712-r260524152715 08524b0d5095 2.14kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524152712-r260524152715/about:c260524152712-r260524152715 bb8c59163f09 15.6MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524152712-r260524152715/image:c260524152712-r260524152715 5c4f9e79b2f1 655MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524152712-r260524152715/pouch:c260524152712-r260524152715 ddc35091f2da 7.11kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524151919-r260524151924/vouch:c260524151919-r260524151924 898dbe7b3744 2.13kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524151919-r260524151924/about:c260524151919-r260524151924 f2e5e32849c2 3.65MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524151919-r260524151924/image:c260524151919-r260524151924 7a64686709fc 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260605075134-r260605075139/pouch:c260605075134-r260605075139 abe4587d1eb7 20.2kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524151919-r260524151924/pouch:c260524151919-r260524151924 abe4587d1eb7 20.2kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260529152749-r260529152801/pouch:c260529152749-r260529152801 abe4587d1eb7 20.2kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603133211-r260603133214/pouch:c260603133211-r260603133214 abe4587d1eb7 20.2kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151918-c381264ca/vouch:k260524151918-c381264ca 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260527004912-5e6388901/image:k260527004912-5e6388901 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152747-6056b3abe/vouch:k260529152747-6056b3abe 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-ee2775af5/image:k260529152748-ee2775af5 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133210-308617338/image:k260603133210-308617338 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151918-c381264ca/image:k260524151918-c381264ca 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260527004912-5e6388901/vouch:k260527004912-5e6388901 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133209-e98325dca/vouch:k260603133209-e98325dca 1b6a27cf8d31 143MB
